X,Y,ET
266202,5341742,0.15
266232,5341742,0.15
266262,5341742,0.17
266292,5341742,0.15
266202,5341772,0.14
266232,5341772,0.15
266262,5341772,0.16
266292,5341772,0.14
266202,5341802,0.16
266232,5341802,0.17
266262,5341802,0.15
266292,5341802,0.14
266202,5341832,0.16
266232,5341832,0.14
266262,5341832,0.13
266292,5341832,0.15
266202,5341862,0.14
266232,5341862,0.17
266262,5341862,0.16
266292,5341862,0.17
266202,5341892,0.16
266232,5341892,0.15
266262,5341892,0.14
266292,5341892,0.15
266202,5341922,0.14
266232,5341922,0.16
266262,5341922,0.15
266292,5341922,0.15
266202,5341952,0.16
266232,5341952,0.17
266262,5341952,0.15
266292,5341952,0.14
266202,5341982,0.15
266232,5341982,0.16
266262,5341982,0.16
266292,5341982,0.15
266202,5342012,0.18
266232,5342012,0.14
266262,5342012,0.17
266292,5342012,0.15
266202,5342042,0.16
266232,5342042,0.015
266262,5342042,0.16
266292,5342042,0.15
266202,5342072,0.17
266232,5342072,0.16
266262,5342072,0.15
266292,5342072,0.16
266202,5342102,0.17
266232,5342102,0.15
266262,5342102,0.14
266292,5342102,0.15
